# TCEQ regulated entities under the Electric Generating Facilities
# unit rule (8340), standby gensets at stores/schools/hospitals
# removed, most-likely-generation first. One RN per line.
# Use: permits_cli.py scrape --rn-file data/scrape_targets_egf.txt
RN106011208,BIO-HYBRID ENERGY SERVICES  LLC
RN106018799,BIO-HYBRID ENERGY SERVICES  LLC
RN111395604,ENCHANTED ROCK OPS LLC
RN111395612,ENCHANTED ROCK OPS LLC
RN111395620,ENCHANTED ROCK OPS LLC
RN111395638,ENCHANTED ROCK OPS LLC
RN111112082,WATTBRIDGE TEXAS LLC
RN100838770,BROWNSVILLE PUBLIC UTILITIES BOARD
RN100209576,CALPINE CONSTRUCTION FINANCE COMPANY  L.P.
RN102381829,NUECES COUNTY
RN111366449,WATTBRIDGE ENERGY LLC
RN101611556,CITY OF BRYAN
RN111365888,BASELINE ENERGY SERVICES LP
RN111170924,WATTBRIDGE TEXAS LLC
RN111349031,ENCHANTED ROCK OPS LLC
RN100210095,US DEPARTMENT OF THE ARMY
RN111333126,ENCHANTED ROCK OPS LLC
RN106501406,SARGAS TEXAS LLC
RN111329314,ENCHANTED ROCK OPS LLC
RN111329322,ENCHANTED ROCK OPS LLC
RN111329330,ENCHANTED ROCK OPS LLC
RN106780653,FRAME SWITCH ENERGY INC
RN100562925,PUBLIC UTILITIES BOARD OF THE CITY OF BROWNSVILLE  TEXAS
RN102476488,ENCHANTED ROCK OPS LLC
RN104991864,ENCHANTED ROCK OPS LLC
RN102217726,ENCHANTED ROCK OPS LLC
RN111285524,MERIT ENERGY COMPANY LLC
RN111285565,MERIT ENERGY COMPANY LLC
RN111284600,MERIT ENERGY COMPANY LLC
RN111281135,ENCHANTED ROCK OPS LLC
RN108714932,EMERALD BIOFUELS LLC
RN111148185,ENCHANTED ROCK OPS LLC
RN107054017,EOG RESOURCES INC
RN104524947,ENCHANTED ROCK OPS LLC
RN104244207,ENCHANTED ROCK OPS LLC
RN102216223,ENCHANTED ROCK OPS LLC
RN104525415,ENCHANTED ROCK OPS LLC
RN104939681,ENCHANTED ROCK OPS LLC
RN102131042,PUBLIC UTILITIES BOARD OF THE CITY OF BROWNSVILLE  TEXAS
RN102130994,PUBLIC UTILITIES BOARD OF THE CITY OF BROWNSVILLE  TEXAS
RN111253415,ENTERGY TEXAS INC
RN105377352,LOWER COLORADO RIVER AUTHORITY
RN104781216,ENCHANTED ROCK OPS LLC
RN102211950,ENCHANTED ROCK OPS LLC
RN104781414,ENCHANTED ROCK OPS LLC
RN102219110,ENCHANTED ROCK OPS LLC
RN104124722,ENCHANTED ROCK OPS LLC
RN111247318,ENCHANTED ROCK OPS LLC
RN103894416,ENCHANTED ROCK OPS LLC
RN100646405,ENCHANTED ROCK OPS LLC
RN102219151,ENCHANTED ROCK OPS LLC
RN102216744,ENCHANTED ROCK OPS LLC
RN101693893,ENCHANTED ROCK OPS LLC
RN102211695,ENCHANTED ROCK OPS LLC
RN104235288,ENCHANTED ROCK OPS LLC
